throughput,congestion,packet_loss,latency,jitter,isRouterV6,Planned route,Percentage video occupancy,Bitrate video,Number videos,anomaly
0.37,1.18,0.0,5.5,0.29,1,1,100,1670,1,0
2.76,91.86,0.0,5.39,0.71,1,1,100,1670,1,0
1.18,92.14,45.0,7.3,1.74,1,1,80,1336,1,1
2.81,56.51,2.5,7.23,0.76,1,1,50,835,1,0
2.66,0.06,0.0,5.42,0.5,1,1,80,1336,2,0
0.22,57.19,30.0,1007.3,0.81,1,1,100,1670,1,1
1.44,0.35,0.0,5.71,0.49,1,1,0,0,0,0
1.7,0.05,0.0,7.29,0.4,1,1,0,0,0,0
1.35,57.28,5.0,10.66,1.17,1,1,80,1336,1,0
1.66,86.53,15.0,10.52,0.38,0,0,80,1336,2,0
2.27,0.31,0.0,9.94,0.53,0,0,0,0,0,0
1.51,13.8,0.0,5.72,0.3,1,1,10,167,1,0
1.12,56.33,45.0,1024.04,1.05,0,0,100,1670,1,1
2.11,14.8,0.0,10.19,0.74,0,0,10,167,1,0
1.98,0.07,0.0,10.85,0.64,0,0,10,167,2,0
1.66,20.46,5.0,5.75,0.55,1,1,20,334,2,0
1.69,44.84,15.0,7.23,0.54,1,1,80,1336,2,0
2.32,9.86,7.5,11.32,1.68,0,0,10,167,1,0
3.22,0.08,0.0,7.57,0.28,1,1,0,0,0,0
1.85,0.07,0.0,10.91,0.69,0,0,0,0,0,0
1.94,0.08,0.0,10.52,1.01,0,0,0,0,0,0
0.7,100.03,10.0,10.63,1.77,0,0,50,835,2,1
1.29,58.6,27.500000000000004,13.18,1.12,0,0,50,835,2,0
2.79,122.39,0.0,7.01,0.81,1,1,120,2004,1,0
2.58,0.11,0.0,7.62,0.53,1,1,0,0,0,0
1.12,42.32,7.5,6.14,1.05,1,1,50,835,1,0
1.52,0.03,0.0,9.93,0.67,0,0,0,0,0,0
2.55,0.11,12.5,10.11,0.72,0,0,80,1336,2,0
1.8,0.12,0.0,10.46,0.72,0,0,0,0,0,0
2.7,58.41,32.5,7.6,1.51,1,1,100,1670,1,1
2.45,11.56,0.0,5.12,0.39,1,1,10,167,2,0
2.34,0.08,0.0,5.86,0.35,1,1,0,0,0,0
2.58,0.05,0.0,7.62,0.35,1,1,0,0,0,0
0.29,55.44,30.0,7.21,0.49,1,1,80,1336,2,0
0.37,64.2,0.0,10.88,0.92,0,0,10,167,6,0
0.3,124.35,0.0,7.12,1.57,1,1,120,2004,1,1
2.57,0.07,0.0,7.2,0.8,1,1,0,0,0,0
2.41,0.07,0.0,13.75,6.65,1,1,0,0,0,0
3.07,14.44,0.0,7.42,0.68,1,1,10,167,2,0
2.14,10.07,0.0,8.07,0.58,1,1,10,167,2,0
1.77,46.47,22.5,5.64,1.24,1,1,80,1336,2,0
2.08,15.11,0.0,5.33,0.28,1,1,10,167,2,0
2.55,0.06,0.0,5.91,0.57,1,1,0,0,0,0
1.63,52.4,7.5,1037.36,1.21,0,0,10,167,5,0
1.88,0.54,0.0,5.88,0.59,1,1,0,0,0,0
1.48,19.63,0.0,6.7,0.57,1,1,20,334,1,0
2.0,0.05,0.0,10.07,1.32,0,0,10,167,1,0
2.34,32.57,0.0,10.0,0.49,0,0,10,167,2,0
1.98,37.69,15.0,9.08,1.54,0,0,10,167,5,0
2.37,0.07,0.0,10.33,0.81,0,0,0,0,0,0
1.8,69.73,0.0,7.89,0.59,1,1,20,334,2,0
1.07,45.72,0.0,10.2,0.94,0,0,50,835,1,0
1.94,0.08,0.0,5.39,0.28,1,1,0,0,0,0
1.83,0.32,0.0,5.86,0.47,1,1,0,0,0,0
0.2,0.06,0.0,7.17,0.66,1,1,120,2004,1,0
1.5,14.71,0.0,7.24,0.72,1,1,10,167,2,0
1.85,0.07,0.0,6.42,0.76,1,1,0,0,0,0
2.09,0.11,0.0,5.72,0.51,1,1,0,0,0,0
2.55,12.69,0.0,7.68,1.03,1,1,10,167,1,0
1.89,0.11,0.0,7.98,0.53,1,1,0,0,0,0
1.69,0.55,35.0,5.33,0.6,1,1,120,2004,2,0
2.51,1.19,0.0,10.41,0.81,0,0,50,835,2,0
1.78,20.17,2.5,6.81,0.6,1,1,20,334,2,0
0.83,36.43,7.5,9.81,1.14,0,0,50,835,1,0
1.61,0.12,0.0,6.78,0.51,1,1,0,0,0,0
2.29,0.11,17.5,5.56,0.42,1,1,20,334,2,0
1.84,0.11,0.0,7.23,1.04,1,1,0,0,0,0
0.27,74.27,0.0,5.42,0.68,1,1,50,835,2,0
3.1,13.55,0.0,5.66,0.38,1,1,10,167,2,0
0.65,57.33,22.5,10.6,1.95,0,0,80,1336,1,1
1.65,107.71,7.5,10.71,2.78,0,0,80,1336,2,1
2.58,0.06,0.0,10.31,1.96,0,0,0,0,1,0
2.32,0.05,0.0,7.19,1.22,1,1,0,0,0,0
2.45,113.84,25.0,7.4,0.68,1,1,120,2004,1,1
2.35,0.07,0.0,10.62,0.76,0,0,0,0,0,0
2.68,10.59,5.0,10.84,0.84,0,0,10,167,2,0
0.76,66.77,0.0,10.33,0.53,0,0,10,167,6,0
2.07,0.07,0.0,10.16,0.59,0,0,0,0,0,0
0.21,73.27,25.0,9.08,0.72,1,1,100,1670,1,0
1.56,25.42,15.0,9.6,0.55,0,0,10,167,4,0
2.37,0.07,0.0,11.69,0.55,0,0,0,0,0,0
2.0,111.18,35.0,5.75,0.83,1,1,80,1336,1,1
2.07,11.31,17.5,6.85,0.44,1,1,20,334,2,0
1.38,19.76,0.0,7.11,0.61,1,1,20,334,1,0
2.64,0.1,0.0,5.65,0.29,1,1,0,0,0,0
2.62,8.02,0.0,6.6,0.43,1,1,10,167,1,0
4.9,54.13,22.5,10.34,0.68,0,0,50,835,1,1
3.03,15.36,0.0,4.95,0.64,1,1,10,167,1,0
2.7,0.08,0.0,7.09,0.53,1,1,0,0,0,0
3.01,10.81,10.0,10.03,1.19,0,0,10,167,1,0
2.67,0.05,0.0,5.69,0.36,1,1,0,0,0,0
1.71,36.55,0.0,6.8,0.61,1,1,50,835,1,0
2.41,0.07,0.0,10.7,0.94,0,0,0,0,0,0
2.56,12.1,2.5,10.56,0.48,0,0,10,167,1,0
2.04,20.43,0.0,7.64,1.01,1,1,20,334,1,0
1.52,20.41,0.0,5.74,0.44,1,1,20,334,2,0
2.08,0.09,0.0,7.36,0.58,1,1,50,835,2,0
1.76,18.07,0.0,10.38,0.71,0,0,10,167,2,0
2.06,0.09,0.0,6.99,0.22,1,1,0,0,1,0
2.42,0.09,0.0,10.3,0.74,0,0,0,0,0,0
1.95,0.03,0.0,5.63,0.59,1,1,0,0,0,0
1.31,43.85,20.0,7.44,0.58,1,1,50,835,2,0
2.01,0.07,0.0,5.95,0.53,1,1,0,0,0,0
2.24,0.08,0.0,10.59,0.55,0,0,0,0,0,0
1.76,57.0,10.0,5.99,0.39,1,1,100,1670,1,0
5.15,39.85,17.5,9.73,0.83,0,0,10,167,3,1
2.41,20.52,15.0,5.4,0.54,1,1,20,334,2,0
2.45,0.09,0.0,7.68,0.91,1,1,0,0,0,0
1.73,0.15,0.0,5.77,0.62,1,1,0,0,0,0
2.6,10.94,0.0,10.67,1.23,0,0,10,167,1,0
0.13,10.64,7.5,1019.97,0.78,1,1,50,835,2,1
2.35,0.08,0.0,6.81,8.35,1,1,0,0,0,0
0.52,56.81,22.5,5.38,0.5,1,1,80,1336,1,0
2.37,20.1,2.5,5.51,0.43,1,1,20,334,1,0
1.13,90.92,15.0,5.53,0.62,1,1,120,2004,2,0
2.57,0.56,0.0,7.94,0.71,1,1,0,0,0,0
2.05,11.16,7.5,10.92,0.88,0,0,10,167,2,0
2.66,0.11,0.0,7.48,1.68,1,1,0,0,2,0
2.01,4.63,0.0,10.15,0.63,0,0,10,167,2,0
0.16,46.17,0.0,10.26,1.01,0,0,50,835,2,0
2.78,0.07,0.0,7.2,0.28,1,1,0,0,0,0
2.69,0.07,0.0,7.05,0.88,1,1,0,0,0,0
1.17,0.06,5.0,5.72,0.34,1,1,100,1670,2,0
1.65,0.07,0.0,11.02,0.51,0,0,0,0,0,0
2.75,0.08,0.0,5.44,0.29,1,1,0,0,0,0
1.8,0.07,0.0,10.18,0.8,0,0,0,0,0,0
2.34,13.02,0.0,10.31,0.62,0,0,10,167,1,0
0.43,81.04,0.0,7.3,0.44,1,1,80,1336,1,0
0.29,60.14,0.0,5.33,0.83,1,1,80,1336,1,0
1.97,0.09,0.0,5.9,0.32,1,1,0,0,0,0
2.37,56.26,15.0,6.96,0.28,1,1,50,835,1,0
2.75,0.05,0.0,7.48,0.62,1,1,0,0,0,0
3.12,0.07,5.0,10.59,0.75,0,0,10,167,1,0
1.85,13.81,0.0,10.51,1.03,0,0,10,167,2,0
1.67,19.87,15.0,8.99,0.96,0,0,20,334,1,0
0.72,56.92,0.0,1012.55,6.41,1,1,80,1336,1,1
0.74,60.13,35.0,1014.81,0.75,1,1,50,835,2,1
1.45,15.86,0.0,10.49,1.35,0,0,10,167,1,0
2.66,0.06,0.0,7.21,0.47,1,1,0,0,1,0
3.2,9.71,12.5,6.74,1.05,1,1,20,334,1,0
1.89,20.04,10.0,7.12,0.59,1,1,20,334,2,0
2.56,61.23,20.0,9.86,0.97,0,0,10,167,6,0
2.17,0.12,0.0,6.73,0.72,1,1,0,0,0,0
2.23,0.08,12.5,7.46,0.94,1,1,0,0,0,0
1.76,88.1,0.0,10.85,2.07,0,0,100,1670,1,0
1.96,0.07,0.0,5.69,0.4,1,1,0,0,0,0
0.32,43.27,0.0,6.62,0.69,1,1,50,835,1,0
2.35,14.21,7.5,9.83,0.29,0,0,10,167,1,0
2.49,0.07,0.0,8.36,0.37,1,1,0,0,0,0
2.43,80.31,0.0,5.28,0.44,1,1,100,1670,2,0
2.73,0.09,0.0,7.25,0.56,1,1,120,2004,1,0
2.42,0.12,0.0,10.87,0.63,0,0,0,0,0,0
1.62,11.13,15.0,7.34,0.42,1,1,10,167,1,0
1.77,0.06,0.0,5.72,0.4,1,1,0,0,0,0
2.54,11.4,0.0,9.49,1.08,0,0,10,167,2,0
1.87,0.08,15.0,10.5,0.48,0,0,80,1336,2,0
2.57,9.89,0.0,10.27,0.79,0,0,10,167,2,0
1.7,1.04,0.0,6.22,0.44,1,1,0,0,2,0
2.35,19.92,2.5,7.28,0.56,1,1,20,334,2,0
2.26,0.06,0.0,10.43,0.75,0,0,0,0,0,0
1.86,0.13,0.0,5.91,0.26,1,1,0,0,0,0
2.65,0.27,0.0,6.97,0.55,1,1,0,0,0,0
1.43,35.1,5.0,5.31,0.56,1,1,50,835,1,0
1.42,6.15,0.0,10.27,0.75,0,0,10,167,2,0
2.32,0.03,0.0,10.99,0.48,0,0,0,0,0,0
1.91,43.01,0.0,11.23,0.47,0,0,50,835,1,0
1.47,10.3,0.0,8.66,0.89,0,0,20,334,2,0
2.21,0.07,0.0,7.52,0.53,1,1,0,0,0,0
1.12,112.05,15.0,5.54,0.87,1,1,100,1670,1,0
2.48,0.06,0.0,10.16,0.77,0,0,0,0,0,0
0.4,50.98,32.5,7.53,0.57,1,1,80,1336,2,0
0.18,81.33,0.0,11.9,1.74,0,0,80,1336,1,1
2.03,0.06,0.0,6.23,0.54,1,1,0,0,0,0
2.35,0.07,0.0,8.03,0.52,1,1,0,0,0,0
1.88,12.19,0.0,7.98,1.09,1,1,10,167,1,0
0.3,84.86,0.0,5.86,0.56,1,1,80,1336,1,0
2.79,0.6,0.0,9.97,0.36,0,0,0,0,2,0
1.3,68.63,0.0,8.94,1.21,0,0,10,167,6,0
1.38,0.05,0.0,7.33,0.3,1,1,0,0,0,0
2.73,0.05,0.0,7.12,2.3,1,1,0,0,0,0
2.27,0.1,0.0,10.77,0.79,0,0,0,0,0,0
2.44,0.07,0.0,10.81,0.7,0,0,0,0,0,0
1.85,0.07,0.0,7.24,0.41,1,1,0,0,0,0
2.15,0.07,0.0,7.61,0.53,1,1,0,0,1,0
0.68,42.8,7.5,9.99,0.59,0,0,50,835,1,0
1.53,16.06,0.0,12.51,1.21,0,0,10,167,1,0
2.16,0.05,0.0,10.13,0.79,0,0,80,1336,2,0
4.63,38.93,20.0,10.25,0.92,0,0,10,167,4,1
2.12,0.33,0.0,10.33,0.35,0,0,0,0,0,0
2.96,7.13,17.5,7.49,0.55,1,1,10,167,2,0
3.39,10.24,0.0,9.99,1.89,0,0,10,167,1,0
2.72,0.05,0.0,5.78,0.55,1,1,0,0,0,0
1.79,4.19,0.0,9.05,0.44,0,0,10,167,1,0
2.71,0.05,0.0,7.05,0.4,1,1,0,0,0,0
3.25,10.7,5.0,9.81,0.58,0,0,20,334,1,0
1.84,0.05,0.0,7.38,0.38,1,1,0,0,0,0
1.97,0.05,0.0,5.42,0.45,1,1,0,0,0,0
2.0,0.08,0.0,7.16,0.36,1,1,0,0,2,0
2.46,0.09,0.0,5.63,0.35,1,1,0,0,0,0
2.08,69.8,15.0,9.51,1.44,0,0,10,167,6,0
2.38,20.14,0.0,9.1,0.84,0,0,20,334,2,0
1.89,10.96,0.0,6.74,0.39,1,1,10,167,2,0
2.56,0.05,0.0,11.06,0.65,0,0,0,0,0,0
0.1,111.32,0.0,6.67,1.25,1,1,100,1670,2,1
1.27,56.45,40.0,5.7,0.89,1,1,100,1670,1,0
3.55,34.88,40.0,1016.31,0.57,0,0,80,1336,2,1
1.95,0.11,0.0,15.12,2.82,0,0,0,0,0,0
2.01,20.16,7.5,6.25,0.35,1,1,20,334,1,0
2.12,0.05,0.0,5.24,0.34,1,1,0,0,0,0
0.28,84.22,0.0,10.23,0.66,0,0,80,1336,1,0
2.55,20.22,5.0,6.35,0.52,1,1,20,334,2,0
1.5,51.4,10.0,9.57,1.08,0,0,10,167,4,0
2.42,56.03,0.0,7.28,1.18,1,1,80,1336,1,0
3.3,19.9,0.0,5.57,0.38,1,1,20,334,1,0
2.37,0.06,0.0,6.37,0.4,1,1,0,0,0,0
1.15,66.46,0.0,9.62,1.03,0,0,10,167,6,0
0.65,111.96,25.0,8.77,0.29,1,1,100,1670,1,1
0.05,0.07,15.0,5.65,0.21,1,1,100,1670,2,0
2.38,85.48,22.5,11.95,0.59,0,0,10,167,6,0
1.73,14.03,0.0,10.24,0.82,0,0,20,334,2,0
1.83,0.08,0.0,10.08,0.5,0,0,0,0,1,0
3.17,40.0,0.0,9.68,1.03,0,0,10,167,5,0
2.12,0.06,0.0,7.44,0.34,1,1,0,0,0,0
0.83,20.55,0.0,9.76,1.32,0,0,20,334,2,0
0.48,40.89,12.5,10.14,0.74,0,0,50,835,2,0
1.6,0.14,0.0,6.84,0.85,1,1,0,0,2,0
3.56,66.26,25.0,9.49,0.84,0,0,10,167,6,0
0.45,47.75,0.0,10.58,0.84,0,0,10,167,4,0
0.35,0.08,15.0,6.87,0.47,1,1,80,1336,2,0
0.58,59.22,12.5,8.94,1.28,0,0,10,167,6,0
1.89,0.07,0.0,7.19,0.63,1,1,0,0,0,0
2.13,0.09,0.0,10.62,0.71,0,0,0,0,1,0
1.95,0.06,0.0,7.31,0.69,1,1,0,0,0,0
2.38,0.06,0.0,10.87,0.56,0,0,0,0,0,0
1.14,0.06,17.5,10.57,0.8,0,0,80,1336,2,0
0.79,50.71,0.0,10.64,0.9,0,0,50,835,1,0
2.08,0.05,0.0,7.17,0.37,1,1,0,0,0,0
2.49,20.34,7.5,5.24,0.34,1,1,20,334,1,0
2.64,0.05,5.0,10.08,1.07,0,0,0,0,0,0
1.58,0.09,0.0,7.53,0.5,1,1,0,0,0,0
2.49,10.28,7.5,5.52,0.37,1,1,10,167,2,0
1.86,13.74,0.0,5.12,0.48,1,1,10,167,2,0
2.25,9.77,0.0,9.47,0.82,0,0,50,835,1,0
3.22,111.69,17.5,7.81,1.14,1,1,80,1336,2,1
3.1,70.58,0.0,10.44,1.52,0,0,80,1336,1,0
2.11,0.09,0.0,10.76,0.88,0,0,0,0,0,0
2.24,0.17,0.0,7.05,0.57,1,1,0,0,0,0
1.95,0.05,17.5,5.69,0.38,1,1,0,0,0,0
2.59,0.55,0.0,7.19,0.4,1,1,0,0,0,0
2.79,0.23,0.0,5.77,0.49,1,1,0,0,2,0
1.09,37.82,0.0,9.64,0.91,0,0,10,167,4,0
1.99,0.08,17.5,6.2,0.28,1,1,0,0,1,0
2.16,0.09,0.0,10.01,0.55,0,0,0,0,0,0
5.27,20.47,2.5,9.43,0.9,0,0,20,334,2,0
3.48,0.15,25.0,10.46,0.63,0,0,80,1336,2,0
2.66,0.07,0.0,13.19,0.56,1,1,0,0,0,0
1.93,11.32,0.0,9.55,0.54,0,0,10,167,2,0
2.03,0.13,0.0,5.46,0.21,1,1,0,0,0,0
0.71,0.07,2.5,5.45,0.6,1,1,80,1336,2,0
2.57,0.09,0.0,10.13,0.36,0,0,0,0,0,0
1.32,37.03,0.0,5.39,0.51,1,1,50,835,1,0
2.68,0.09,0.0,7.39,0.58,1,1,0,0,1,0
0.47,63.06,2.5,9.88,1.13,0,0,10,167,6,0
5.48,55.07,40.0,3051.58,0.67,1,1,80,1336,2,1
2.09,0.07,0.0,10.72,0.88,0,0,0,0,0,0
2.28,0.1,0.0,10.73,0.34,0,0,0,0,1,0
2.51,6.98,0.0,9.49,1.0,0,0,10,167,1,0
0.37,69.2,2.5,5.73,8.17,1,1,80,1336,1,0
1.52,0.09,0.0,10.81,0.58,0,0,0,0,0,0
2.78,54.68,35.0,5.38,1.71,1,1,120,2004,1,1
2.96,10.85,2.5,5.25,0.6,1,1,10,167,2,0
